Alabama,0.0
Alaska,397684307.0
Amer. Samoa,0.0
Arizona,2566194238.0
Arkansas,1769667334.0
California,20170153778.0
Colorado,1888006232.0
Connecticut,1853718655.0
Delaware,438728237.0
Dist. Of Col.,417267557.0
Florida,0.0
Georgia,0.0
Guam,21602209.0
Hawaii,623030625.0
Idaho,0.0
Illinois,4343969789.0
Indiana,1913303102.0
Iowa,957802591.0
Kansas,0.0
Kentucky,2719943528.0
Louisiana,2548662839.0
Maine,0.0
Maryland,2537413025.0
Massachusetts,1956679371.0
Michigan,3559743558.0
Minnesota,1710417079.0
Mississippi,0.0
Missouri,0.0
Montana,656464258.0
N. Mariana Islands,0.0
Nebraska,0.0
Nevada,1181596776.0
New Hampshire,412181751.0
New Jersey,2985761676.0
New Mexico,1350873824.0
New York,8129881974.0
North Carolina,0.0
North Dakota,271255713.0
Ohio,3842086402.0
Oklahoma,0.0
Oregon,2277260627.0
Pennsylvania,4683934327.0
Puerto Rico,874116460.0
Rhode Island,432038094.0
South Carolina,0.0
South Dakota,0.0
Tennessee,0.0
Texas,0.0
Utah,0.0
Vermont,196621948.0
Virgin Islands,17011001.0
Virginia,0.0
Washington,2907813113.0
West Virginia,960706136.0
Wisconsin,0.0
Wyoming,0.0
